"";"country";"date";"EthAl";"scode";"sname";"UN";"cow"
"169";"Saudi Arabia";"1995";".18";670;"Saudi Arabia";682;670
"170";"Senegal";"1988";".6938839999999999";433;"Senegal";686;433
"171";"Serbia/Montenegro (Yugoslavia)";"1991";".573588";345;"Serbia/Montenegro (Yugoslavia)";.;345
"172";"Seychelles";"1983";".2024680000000001";591;"Seychelles";690;591
"173";"Sierra Leone";"1993";".8190900000000002";451;"Sierra Leone";694;451
"174";"Singapore";"2001";".385674";830;"Singapore";702;830
"175";"Slovak Republic";"1996";".2538959999999998";317;"Slovak Republic";703;317
"176";"Slovenia";"1991";".2216480000000001";349;"Slovenia";705;349
"177";"Solomon Islands";"1986";".1110219999999998";940;"Solomon Islands";90;940
"178";"Somalia";"1999";".8117";520;"Somalia";706;520
"179";"South Africa";"1998";".7517428724324049";560;"South Africa";710;560
"180";"Spain";"1991";".4164629999999999";230;"Spain";724;230
"181";"Sri Lanka";"2001";".415";780;"Sri Lanka";144;780
"182";"St Kitts & Nevis";"1998";".1841999999999999";60;"St Kitts & Nevis";659;60
"183";"Sudan";"1983";".714712";625;"Sudan";729;625
"184";"Suriname";"2001";".7332";115;"Suriname";740;115
"185";"Swaziland";"2001";".0582";572;"Swaziland";748;572
"186";"Sweden";"1998";".059993649765273";380;"Sweden";752;380
"187";"Switzerland";"2001";".5314";225;"Switzerland";756;225
"188";"Syria";"1993";".539922";652;"Syria";760;652
"189";"Taiwan";"2001";".2744000000000002";713;"Taiwan";.;713
"190";"Tajikistan";"2001";".510718";702;"Tajikistan";762;702
"191";"Tanzania";"1995";".7352959999999999";510;"Tanzania";834;510
"192";"Thailand";"1983";".6338239999999999";800;"Thailand";764;800
"193";"Togo";"1995";".7099279999999999";461;"Togo";768;461
"194";"Tonga";"1995";".086902";955;"Tonga";776;955
"195";"Trinidad and Tobago";"2001";".6475300000000001";52;"Trinidad and Tobago";780;52
"196";"Tunisia";"2001";".0394000000000001";616;"Tunisia";788;616
"197";"Turkey";"2001";".32";640;"Turkey";792;640
"198";"Turkmenistan";"1997";".3918340000000001";701;"Turkmenistan";795;701
"199";"Tuvalu";"1979";".162936";947;"Tuvalu";798;947
"200";"Uganda";"1983";".930175";500;"Uganda";800;500
"201";"Ukraine";"1998";".4736719999999999";369;"Ukraine";804;369
"202";"United Arab Emirates";"1993";".6252";696;"United Arab Emirates";784;696
"203";"United Kingdom";"1994";".1210589999999999";200;"United Kingdom";826;200
"204";"United States";"2000";".490111130469376";2;"United States";840;2
"205";"Uruguay";"1990";".2504000000000001";165;"Uruguay";858;165
"206";"Uzbekistan";"1995";".4125139999999999";704;"Uzbekistan";860;704
"207";"Vanuatu";"1989";".0413379999999998";935;"Vanuatu";548;935
"208";"Venezuela";"1993";".4966";101;"Venezuela";862;101
"209";"Vietnam";"1995";".238308";816;"Vietnam";704;817
"210";"Virgin Islands (U.S.)";".";".";.;"Virgin Islands (U.S.)";850;.
"211";"West Bank";".";".";.;"West Bank";275;.
"212";"Yemen";".";".";679;"Yemen";887;679
"213";"Yugoslavia (pre 1991)";"1995";".8091600000000001";.;"Yugoslavia (pre 1991)";.;345
"214";"Zambia";"1998";".7808";551;"Zambia";894;551
"215";"Zimbabwe";"1998";".3874";552;"Zimbabwe";716;552
