"";"clea.yr";"varmag";"sdmag";"memag";"UN";"country"
"328";1973;NA;NA;NA;578;"Norway"
"329";1973;NA;NA;NA;752;"Sweden"
"330";1973;NA;NA;NA;792;"Turkey"
"331";1973;0;0;1;90;"Solomon Islands"
"332";1974;0;0;1;124;"Canada"
"333";1974;NA;NA;NA;188;"Costa Rica"
"334";1974;NA;NA;NA;214;"Dominican Republic"
"335";1974;NA;NA;NA;234;"Faroe Islands"
"336";1974;NA;NA;NA;300;"Greece"
"337";1974;NA;NA;NA;352;"Iceland"
"338";1974;0;0;1;36;"Australia"
"339";1974;NA;NA;NA;438;"Liechtenstein"
"340";1974;74,25;8,61684396980704;14,75;442;"Luxembourg"
"341";1974;NA;NA;NA;56;"Belgium"
"342";1974;0;0;1;662;"Saint Lucia"
"343";1974;0;0;1;670;"St. Vincent and the Grenadines"
"344";1974;0;0;1;72;"Botswana"
"345";1974;NA;NA;NA;76;"Brazil"
"346";1974;0;0;1;826;"UK"
"347";1974;0;0;1;84;"Belize"
"348";1974;0;0;1;840;"US"
"349";1975;NA;NA;NA;208;"Denmark"
"350";1975;NA;NA;NA;246;"Finland"
"351";1975;0;0;1;36;"Australia"
"352";1975;NA;NA;NA;40;"Austria"
"353";1975;0;0;5;414;"Kuwait"
"354";1975;0;0;1;554;"New Zealand"
"355";1975;NA;NA;NA;620;"Portugal"
"356";1975;0;0;1;659;"Saint Kitts and Nevis"
"357";1975;NA;NA;NA;756;"Switzerland"
"358";1975;NA;NA;NA;764;"Thailand"
"359";1976;0;0;1;276;"Germany"
"360";1976;0;0;1;28;"Antigua and Barbuda"
"361";1976;0;0;1;308;"Grenada"
"362";1976;NA;NA;NA;380;"Italy"
"363";1976;0;0;1;388;"Jamaica"
"364";1976;0,747107930828861;0,864354054094074;3,93076923076923;392;"Japan"
"365";1976;0;0;5;470;"Malta"
"366";1976;0,0476190476190476;0,218217890235992;2,95238095238095;480;"Mauritius"
"367";1976;0;0;1;52;"Barbados"
"368";1976;0;0;2;60;"Bermuda"
"369";1976;NA;NA;NA;620;"Portugal"
"370";1976;0;0;1;702;"Singapore"
"371";1976;NA;NA;NA;752;"Sweden"
"372";1976;NA;NA;NA;764;"Thailand"
"373";1976;0;0;1;780;"Trinidad and Tobago"
"374";1976;0;0;1;840;"US"
"375";1976;0;0;1;90;"Solomon Islands"
"376";1977;0;0;1;144;"Sri Lanka"
"377";1977;NA;NA;NA;208;"Denmark"
"378";1977;NA;NA;NA;300;"Greece"
"379";1977;0;0;1;356;"India"
"380";1977;0;0;1;36;"Australia"
"381";1977;NA;NA;NA;372;"Ireland"
"382";1977;NA;NA;120;376;"Israel"
"383";1977;NA;NA;NA;528;"Netherlands"
"384";1977;NA;NA;NA;56;"Belgium"
"385";1977;NA;NA;NA;578;"Norway"
"386";1977;0;0;1;710;"South Africa"
"387";1977;NA;NA;NA;724;"Spain"
"388";1977;NA;NA;NA;792;"Turkey"
"389";1978;NA;NA;NA;188;"Costa Rica"
"390";1978;NA;NA;NA;214;"Dominican Republic"
"391";1978;NA;NA;NA;234;"Faroe Islands"
"392";1978;0;0;1;250;"France"
"393";1978;NA;NA;NA;352;"Iceland"
"394";1978;0;0;2;410;"Korea"
"395";1978;NA;NA;NA;438;"Liechtenstein"
"396";1978;0;0;1;458;"Malaysia"
"397";1978;0;0;1;554;"New Zealand"
"398";1978;NA;NA;NA;56;"Belgium"
"399";1978;20,0641025641026;4,47929710603155;12,6923076923077;608;"Philippines"
"400";1978;NA;NA;NA;76;"Brazil"
"401";1978;0;0;1;840;"US"
"402";1979;0;0;1;124;"Canada"
"403";1979;NA;NA;NA;208;"Denmark"
"404";1979;NA;NA;NA;218;"Ecuador"
"405";1979;NA;NA;NA;246;"Finland"
"406";1979;NA;NA;NA;352;"Iceland"
"407";1979;NA;NA;NA;380;"Italy"
"408";1979;0,747107930828861;0,864354054094074;3,93076923076923;392;"Japan"
"409";1979;NA;NA;NA;40;"Austria"
"410";1979;74,25;8,61684396980704;14,75;442;"Luxembourg"
"411";1979;NA;NA;NA;620;"Portugal"
"412";1979;0;0;1;662;"Saint Lucia"
"413";1979;0;0;1;670;"St. Vincent and the Grenadines"
"414";1979;0;0;1;68;"Bolivia"
"415";1979;0;0;1;72;"Botswana"
"416";1979;NA;NA;NA;724;"Spain"
"417";1979;NA;NA;NA;752;"Sweden"
"418";1979;NA;NA;NA;756;"Switzerland"
"419";1979;NA;NA;NA;764;"Thailand"
"420";1979;0;0;1;826;"UK"
"421";1979;0;0;1;84;"Belize"
"422";1980;0;0;1;124;"Canada"
"423";1980;NA;NA;NA;234;"Faroe Islands"
"424";1980;0;0;1;276;"Germany"
"425";1980;0;0;1;28;"Antigua and Barbuda"
"426";1980;NA;NA;NA;340;"Honduras"
"427";1980;0;0;1;356;"India"
"428";1980;0;0;1;36;"Australia"
"429";1980;0;0;1;388;"Jamaica"
"430";1980;0,747107930828861;0,864354054094074;3,93076923076923;392;"Japan"
"431";1980;0;0;2;60;"Bermuda"
"432";1980;58,0833333333333;7,62124224344911;7,2;604;"Peru"
"433";1980;NA;NA;NA;620;"Portugal"
"434";1980;0;0;1;659;"Saint Kitts and Nevis"
"435";1980;0;0;1;68;"Bolivia"
"436";1980;0;0;1;702;"Singapore"
"437";1980;0;0;1;840;"US"
"438";1980;0;0;1;90;"Solomon Islands"
"439";1981;13,3666666666667;3,65604522218567;5,83333333333333;196;"Cyprus"
"440";1981;NA;NA;NA;208;"Denmark"
"441";1981;0;0;1;250;"France"
"442";1981;NA;NA;NA;300;"Greece"
"443";1981;NA;NA;NA;340;"Honduras"
"444";1981;NA;NA;NA;372;"Ireland"
"445";1981;NA;NA;120;376;"Israel"
"446";1981;0;0;2;410;"Korea"
"447";1981;0;0;2;414;"Kuwait"
"448";1981;0;0;5;470;"Malta"
"449";1981;0;0;1;52;"Barbados"
"450";1981;NA;NA;NA;528;"Netherlands"
"451";1981;0;0;1;554;"New Zealand"
"452";1981;NA;NA;NA;56;"Belgium"
"453";1981;NA;NA;NA;578;"Norway"
"454";1981;0;0;1;710;"South Africa"
"455";1981;0;0;1;780;"Trinidad and Tobago"
"456";1982;NA;NA;NA;188;"Costa Rica"
"457";1982;NA;NA;NA;214;"Dominican Republic"
"458";1982;NA;NA;NA;372;"Ireland"
"459";1982;NA;NA;NA;438;"Liechtenstein"
"460";1982;0;0;1;458;"Malaysia"
"461";1982;0,0476190476190476;0,218217890235992;2,95238095238095;480;"Mauritius"
"462";1982;NA;NA;NA;528;"Netherlands"
"463";1982;0;0;1;662;"Saint Lucia"
"464";1982;NA;NA;NA;724;"Spain"
"465";1982;NA;NA;NA;752;"Sweden"
"466";1982;NA;NA;NA;76;"Brazil"
"467";1982;0;0;1;840;"US"
"468";1983;NA;NA;NA;246;"Finland"
"469";1983;0;0;1;276;"Germany"
"470";1983;NA;NA;NA;32;"Argentina"
"471";1983;NA;NA;NA;352;"Iceland"
"472";1983;0;0;1;36;"Australia"
"473";1983;NA;NA;NA;380;"Italy"
"474";1983;0;0;1;388;"Jamaica"
"475";1983;0,747107930828861;0,864354054094074;3,93076923076923;392;"Japan"
"476";1983;NA;NA;NA;40;"Austria"
"477";1983;0,0476190476190476;0,218217890235992;2,95238095238095;480;"Mauritius"
"478";1983;0;0;2;60;"Bermuda"
"479";1983;NA;NA;NA;620;"Portugal"
"480";1983;NA;NA;NA;756;"Switzerland"
"481";1983;NA;NA;NA;764;"Thailand"
"482";1983;24,3627317955676;4,93586180879972;5,97014925373134;792;"Turkey"
"483";1983;0;0;1;826;"UK"
"484";1984;0;0;1;124;"Canada"
"485";1984;NA;NA;NA;208;"Denmark"
"486";1984;NA;NA;NA;218;"Ecuador"
"487";1984;NA;NA;NA;234;"Faroe Islands"
"488";1984;0;0;1;28;"Antigua and Barbuda"
"489";1984;0;0;1;308;"Grenada"
"490";1984;NA;NA;NA;320;"Guatemala"
"491";1984;0;0;1;356;"India"
"492";1984;0;0;1;36;"Australia"
"493";1984;NA;NA;120;376;"Israel"
"494";1984;86,6666666666667;9,30949336251263;16;442;"Luxembourg"
"495";1984;0;0;1;554;"New Zealand"
"496";1984;0;0;1;659;"Saint Kitts and Nevis"
"497";1984;0;0;1;670;"St. Vincent and the Grenadines"
"498";1984;0;0;1;702;"Singapore"
"499";1984;0;0;1;710;"South Africa"
"500";1984;0;0;1;72;"Botswana"
"501";1984;0;0;1;84;"Belize"
"502";1984;NA;NA;NA;840;"US"
"503";1984;NA;NA;NA;858;"Uruguay"
"504";1984;0;0;1;90;"Solomon Islands"
"505";1985;46,6666666666667;6,83130051063973;9,33333333333333;196;"Cyprus"
"506";1985;NA;NA;NA;300;"Greece"
"507";1985;NA;NA;NA;32;"Argentina"
"508";1985;NA;NA;NA;340;"Honduras"
"509";1985;0;0;1;356;"India"
"510";1985;0;0;2;410;"Korea"
"511";1985;0;0;2;414;"Kuwait"
"512";1985;NA;NA;NA;56;"Belgium"
"513";1985;NA;NA;NA;578;"Norway"
"514";1985;0;0;2;60;"Bermuda"
"515";1985;56,9861538461538;7,54891739563719;6,88461538461539;604;"Peru"
"516";1985;NA;NA;NA;620;"Portugal"
"517";1985;0;0;1;68;"Bolivia"
"518";1985;NA;NA;NA;752;"Sweden"
"519";1986;NA;NA;NA;1001;"Taiwan"
"520";1986;NA;NA;NA;188;"Costa Rica"
"521";1986;NA;NA;NA;214;"Dominican Republic"
"522";1986;16,7200657894737;4,08901770471512;5,78125;250;"France"
"523";1986;0,879904591532499;0,938032297702216;3,93846153846154;392;"Japan"
"524";1986;NA;NA;NA;40;"Austria"
"525";1986;NA;NA;NA;438;"Liechtenstein"
"526";1986;0;0;1;52;"Barbados"
"527";1986;NA;NA;NA;528;"Netherlands"
"528";1986;NA;NA;NA;724;"Spain"
"529";1986;NA;NA;NA;76;"Brazil"
"530";1986;NA;NA;NA;764;"Thailand"
"531";1986;0;0;1;780;"Trinidad and Tobago"
"532";1986;0;0;1;840;"US"
"533";1987;NA;NA;NA;208;"Denmark"
"534";1987;NA;NA;NA;246;"Finland"
"535";1987;0;0;1;276;"Germany"
"536";1987;NA;NA;NA;32;"Argentina"
"537";1987;NA;NA;NA;352;"Iceland"
"538";1987;0;0;1;36;"Australia"
"539";1987;NA;NA;NA;372;"Ireland"
"540";1987;NA;NA;NA;380;"Italy"
"541";1987;0;0;5;470;"Malta"
"542";1987;0,0476190476190476;0,218217890235992;2,95238095238095;480;"Mauritius"
"543";1987;0;0;1;554;"New Zealand"
"544";1987;NA;NA;NA;56;"Belgium"
"545";1987;0;0;1;608;"Philippines"
"546";1987;NA;NA;NA;620;"Portugal"
"547";1987;0;0;1;662;"Saint Lucia"
"548";1987;0;0;1;710;"South Africa"
"549";1987;NA;NA;NA;756;"Switzerland"
"550";1987;37,6910900045228;6,1393069645134;6,71641791044776;792;"Turkey"
"551";1987;0;0;1;826;"UK"
"552";1988;0;0;1;124;"Canada"
"553";1988;NA;NA;NA;208;"Denmark"
"554";1988;NA;NA;NA;218;"Ecuador"
"555";1988;NA;NA;NA;234;"Faroe Islands"
"556";1988;0;0;1;250;"France"
"557";1988;NA;NA;120;376;"Israel"
"558";1988;0;0;1;410;"Korea"
"559";1988;0,0861204013377926;0,293462776749953;1,02884615384615;586;"Pakistan"
"560";1988;NA;NA;NA;702;"Singapore"
"561";1988;NA;NA;NA;752;"Sweden"
"562";1988;NA;NA;NA;764;"Thailand"
"563";1988;0;0;1;840;"US"
"564";1989;NA;NA;NA;1001;"Taiwan"
"565";1989;NA;NA;NA;144;"Sri Lanka"
"566";1989;NA;NA;NA;152;"Chile"
"567";1989;0;0;1;28;"Antigua and Barbuda"
"568";1989;NA;NA;NA;300;"Greece"
